WordId,CategoryId,WordKey,DescriptionKey,Word_es-AR,Description_es-AR,Word_en,Description_en
argentine_celebrities.bananero,argentine_celebrities,word.argentine_celebrities.bananero.name,word.argentine_celebrities.bananero.description,Bananero,Es un creador de contenido y humorista conocido por sus videos irreverentes en internet.,Bananero,"Uruguayan online comedian and creator famous for gloriously filthy, irreverent videos."
argentine_celebrities.ricardo_fort,argentine_celebrities,word.argentine_celebrities.ricardo_fort.name,word.argentine_celebrities.ricardo_fort.description,Ricardo Fort,Fue un empresario y mediático argentino conocido por su estilo extravagante y apariciones televisivas.,Ricardo Fort,"Flamboyant Argentine businessman and media personality remembered for luxury, Miami, and unforgettable TV moments."
global_celebrities.cristiano_ronaldo,global_celebrities,word.global_celebrities.cristiano_ronaldo.name,word.global_celebrities.cristiano_ronaldo.description,Cristiano Ronaldo,"Es un futbolista portugués, reconocido como uno de los mejores jugadores de la historia.",Cristiano Ronaldo,Portuguese footballer recognized as one of the greatest players in history.
global_celebrities.mia_khalifa,global_celebrities,word.global_celebrities.mia_khalifa.name,word.global_celebrities.mia_khalifa.description,Mia Khalifa,Es una personalidad de internet y ex actriz de cine para adultos conocida por su presencia mediática.,Mia Khalifa,Internet personality and former adult-film performer with a massive global profile.
global_celebrities.shakira,global_celebrities,word.global_celebrities.shakira.name,word.global_celebrities.shakira.description,Shakira,"Es una cantante colombiana reconocida mundialmente por su música, baile y trayectoria internacional.",Shakira,"Colombian singer known worldwide for her music, dancing, and unmistakable hips."
global_celebrities.bad_bunny,global_celebrities,word.global_celebrities.bad_bunny.name,word.global_celebrities.bad_bunny.description,Bad Bunny,"Es un cantante puertorriqueño de música urbana, reconocido por su impacto global en el género.",Bad Bunny,Puerto Rican urban-music artist whose sound and style became a global phenomenon.
global_celebrities.tom_holland,global_celebrities,word.global_celebrities.tom_holland.name,word.global_celebrities.tom_holland.description,Tom Holland,Es un actor británico conocido mundialmente por interpretar a Spider-Man en el cine.,Tom Holland,British actor best known worldwide for playing Spider-Man on film.
global_celebrities.ibai,global_celebrities,word.global_celebrities.ibai.name,word.global_celebrities.ibai.description,Ibai,"Es un streamer y presentador español conocido por sus transmisiones, eventos y contenido de entretenimiento.",Ibai,"Spanish streamer and host known for massive broadcasts, boxing events, and entertainment projects."
global_celebrities.elon_musk,global_celebrities,word.global_celebrities.elon_musk.name,word.global_celebrities.elon_musk.description,Elon Musk,"Es un empresario tecnológico conocido por su relación con empresas como Tesla, SpaceX y X.",Elon Musk,"Technology executive associated with Tesla, SpaceX, X, rockets, and endless controversy."
global_celebrities.jacob_elordi,global_celebrities,word.global_celebrities.jacob_elordi.name,word.global_celebrities.jacob_elordi.description,Jacob Elordi,Es un actor australiano conocido por sus papeles en series y películas juveniles.,Jacob Elordi,Australian actor known for leading roles in youth-focused films and television series.
global_celebrities.rubius,global_celebrities,word.global_celebrities.rubius.name,word.global_celebrities.rubius.description,Rubius,"Es un youtuber y streamer español, reconocido como una de las figuras más populares de internet en habla hispana.",Rubius,Spanish YouTuber and streamer who became one of the biggest names on the Spanish-speaking internet.
global_celebrities.justin_bieber,global_celebrities,word.global_celebrities.justin_bieber.name,word.global_celebrities.justin_bieber.description,Justin Bieber,Es un cantante canadiense de pop conocido mundialmente desde su adolescencia.,Justin Bieber,Canadian pop singer who became globally famous while still a teenager.
global_celebrities.german_garmendia,global_celebrities,word.global_celebrities.german_garmendia.name,word.global_celebrities.german_garmendia.description,Germán Garmendia,"Es un youtuber, escritor y músico chileno conocido por su contenido de humor.",Germán Garmendia,"Chilean YouTuber, writer, and musician known for online comedy."
global_celebrities.lady_gaga,global_celebrities,word.global_celebrities.lady_gaga.name,word.global_celebrities.lady_gaga.description,Lady Gaga,"Es una cantante y actriz estadounidense reconocida por su música pop, estilo visual y actuaciones.",Lady Gaga,"American singer and actor celebrated for pop music, bold visuals, and dramatic performances."
global_celebrities.brad_pitt,global_celebrities,word.global_celebrities.brad_pitt.name,word.global_celebrities.brad_pitt.description,Brad Pitt,Es un actor y productor estadounidense reconocido por su trayectoria en cine internacional.,Brad Pitt,American actor and producer with a long career in internationally successful films.
global_celebrities.mrbeast,global_celebrities,word.global_celebrities.mrbeast.name,word.global_celebrities.mrbeast.description,MrBeast,"Es un creador de contenido estadounidense conocido por sus videos de desafíos, premios y grandes producciones.",MrBeast,"American creator known for huge challenges, cash prizes, and absurdly expensive productions."
global_celebrities.ed_sheeran,global_celebrities,word.global_celebrities.ed_sheeran.name,word.global_celebrities.ed_sheeran.description,Ed Sheeran,Es un cantante y compositor británico conocido por sus canciones pop y baladas acústicas.,Ed Sheeran,"British singer-songwriter known for pop songs, acoustic ballads, and bright red hair."
countries.argentina,countries,word.countries.argentina.name,word.countries.argentina.description,Argentina,"País sudamericano conocido por el mate, el tango, el fútbol y paisajes que van de la Puna a la Patagonia.",Argentina,"South American country known for mate, tango, football, and landscapes stretching from the Andes to Patagonia."
countries.brasil,countries,word.countries.brasil.name,word.countries.brasil.description,Brasil,"El país más grande de Sudamérica, famoso por el carnaval, el fútbol, la Amazonia y sus playas.",Brazil,"The largest country in South America, famous for Carnival, football, the Amazon, and its beaches."
countries.chile,countries,word.countries.chile.name,word.countries.chile.description,Chile,País largo y angosto entre la cordillera de los Andes y el océano Pacífico.,Chile,"Long, narrow South American country tucked between the Andes and the Pacific Ocean."
countries.uruguay,countries,word.countries.uruguay.name,word.countries.uruguay.description,Uruguay,"País rioplatense conocido por el mate, sus playas, el fútbol y una vida bastante tranquila.",Uruguay,"Small South American country known for mate, beaches, football, and a famously relaxed pace of life."
countries.paraguay,countries,word.countries.paraguay.name,word.countries.paraguay.description,Paraguay,País sudamericano bilingüe donde conviven el español y el guaraní.,Paraguay,Bilingual South American country where Spanish and Guaraní are both widely spoken.
countries.bolivia,countries,word.countries.bolivia.name,word.countries.bolivia.description,Bolivia,"País andino sin salida al mar, conocido por su altura, el altiplano y el Salar de Uyuni.",Bolivia,"Landlocked Andean country known for high-altitude cities, the Altiplano, and the Uyuni salt flats."
countries.peru,countries,word.countries.peru.name,word.countries.peru.description,Perú,"País andino célebre por Machu Picchu, la cultura inca y una gastronomía reconocida en todo el mundo.",Peru,"Andean country celebrated for Machu Picchu, Inca history, and world-renowned food."
countries.colombia,countries,word.countries.colombia.name,word.countries.colombia.description,Colombia,"País sudamericano conocido por su diversidad, café, música y una enorme variedad de acentos.",Colombia,"South American country known for biodiversity, coffee, music, and a huge variety of accents."
countries.mexico,countries,word.countries.mexico.name,word.countries.mexico.description,México,"País norteamericano con una cultura enorme, gastronomía picante y tradiciones reconocidas en todo el mundo.",Mexico,"North American country with an enormous cultural legacy, spicy food, and traditions recognized worldwide."
countries.estados_unidos,countries,word.countries.estados_unidos.name,word.countries.estados_unidos.description,Estados Unidos,País federal de Norteamérica identificado por sus cincuenta estados y su enorme influencia cultural y económica.,United States,"North American federation of fifty states with enormous cultural, political, and economic influence."
countries.canada,countries,word.countries.canada.name,word.countries.canada.description,Canadá,"País norteamericano conocido por sus bosques, lagos, inviernos fríos y la hoja de arce.",Canada,"North American country known for forests, lakes, cold winters, and the maple leaf."
countries.espana,countries,word.countries.espana.name,word.countries.espana.description,España,"País europeo conocido por su diversidad regional, su historia, el flamenco y una intensa vida cultural.",Spain,"European country known for strong regional identities, deep history, flamenco, and lively culture."
countries.francia,countries,word.countries.francia.name,word.countries.francia.description,Francia,"País europeo asociado con París, la Torre Eiffel, la moda y una gastronomía influyente.",France,"European country associated with Paris, the Eiffel Tower, fashion, and influential cuisine."
countries.italia,countries,word.countries.italia.name,word.countries.italia.description,Italia,"País mediterráneo famoso por su historia, arte, costas y platos como la pasta y la pizza.",Italy,"Mediterranean country famous for history, art, coastline, pasta, and pizza."
countries.alemania,countries,word.countries.alemania.name,word.countries.alemania.description,Alemania,"País de Europa central reconocido por su ingeniería, industria automotriz y compleja historia moderna.",Germany,"Central European country recognized for engineering, the auto industry, and a complex modern history."
countries.japon,countries,word.countries.japon.name,word.countries.japon.description,Japón,"País insular de Asia oriental donde conviven tradiciones antiguas, tecnología, anime y cultura pop.",Japan,"East Asian island nation blending ancient traditions, technology, anime, and global pop culture."
countries.china,countries,word.countries.china.name,word.countries.china.description,China,"País de Asia oriental con una historia milenaria, una población enorme y monumentos como la Gran Muralla.",China,"East Asian country with ancient history, a vast population, and landmarks such as the Great Wall."
countries.australia,countries,word.countries.australia.name,word.countries.australia.description,Australia,"País y continente conocido por fauna única, playas inmensas, arrecifes y paisajes desérticos.",Australia,"Country and continent known for unique wildlife, vast beaches, reefs, and desert landscapes."
countries.egipto,countries,word.countries.egipto.name,word.countries.egipto.description,Egipto,País del noreste de África atravesado por el Nilo y famoso por sus pirámides y civilización antigua.,Egypt,Northeast African country shaped by the Nile and famous for pyramids and ancient civilization.
countries.sudafrica,countries,word.countries.sudafrica.name,word.countries.sudafrica.description,Sudáfrica,"País del extremo sur de África conocido por su diversidad cultural, ciudades costeras y grandes reservas naturales.",South Africa,"Country at Africa’s southern tip known for cultural diversity, coastal cities, and major wildlife reserves."
foods.pizza,foods,word.foods.pizza.name,word.foods.pizza.description,Pizza,"Masa horneada cubierta con salsa, queso y una cantidad casi infinita de ingredientes posibles.",Pizza,"Baked dough topped with sauce, cheese, and an almost endless range of possible ingredients."
foods.hamburguesa,foods,word.foods.hamburguesa.name,word.foods.hamburguesa.description,Hamburguesa,"Medallón de carne o vegetales servido en pan y acompañado con salsas, queso y otros agregados.",Burger,"Meat or vegetable patty served in a bun with sauces, cheese, and other toppings."
foods.empanada,foods,word.foods.empanada.name,word.foods.empanada.description,Empanada,"Masa rellena y cerrada que se cocina al horno o frita, con versiones distintas en toda Latinoamérica.",Empanada,"Filled pastry baked or fried, with countless regional versions across Latin America."
foods.milanesa,foods,word.foods.milanesa.name,word.foods.milanesa.description,Milanesa,"Filete empanado y cocido al horno o frito, un clásico absoluto de las mesas argentinas.",Milanesa,"Breaded cutlet, baked or fried, and an absolute classic of Argentine home cooking."
foods.asado,foods,word.foods.asado.name,word.foods.asado.description,Asado,"Carne y otros alimentos cocinados lentamente a la parrilla, ritual social argentino por excelencia.",Argentine barbecue,"Meat and other foods slowly grilled over fire, Argentina’s ultimate social food ritual."
foods.sushi,foods,word.foods.sushi.name,word.foods.sushi.description,Sushi,"Preparación japonesa de arroz sazonado combinado con pescado, mariscos, vegetales u otros ingredientes.",Sushi,"Japanese preparation of seasoned rice combined with fish, seafood, vegetables, or other ingredients."
foods.taco,foods,word.foods.taco.name,word.foods.taco.description,Taco,"Tortilla doblada alrededor de un relleno, acompañada con salsas y guarniciones.",Taco,Folded tortilla wrapped around a filling and finished with sauces and toppings.
foods.pasta,foods,word.foods.pasta.name,word.foods.pasta.description,Pasta,"Alimento hecho principalmente con harina y agua, servido en numerosas formas y con distintas salsas.",Pasta,"Food made mainly from flour and water, served in many shapes with countless sauces."
foods.ravioles,foods,word.foods.ravioles.name,word.foods.ravioles.description,Ravioles,"Pasta rellena en forma de pequeños cuadrados o círculos, normalmente servida con salsa.",Ravioli,Stuffed pasta shaped into small squares or circles and usually served with sauce.
foods.noquis,foods,word.foods.noquis.name,word.foods.noquis.description,Ñoquis,"Pequeñas piezas de masa, generalmente de papa, populares en Argentina cada día 29.",Gnocchi,"Small potato-based dumplings, traditionally eaten in Argentina on the 29th of each month."
foods.helado,foods,word.foods.helado.name,word.foods.helado.description,Helado,Postre congelado y cremoso disponible en sabores que pueden dividir familias enteras.,Ice cream,"Cold, creamy dessert available in enough flavors to start a family argument."
foods.torta,foods,word.foods.torta.name,word.foods.torta.description,Torta,"Preparación dulce horneada, habitual en cumpleaños y celebraciones, que suele llevar velas.",Cake,Sweet baked dessert commonly served with candles at birthdays and celebrations.
foods.pancho,foods,word.foods.pancho.name,word.foods.pancho.description,Pancho,Salchicha caliente servida en un pan alargado y acompañada con salsas o toppings.,Hot dog,Hot sausage served in a long bun with sauces and toppings.
foods.lomito,foods,word.foods.lomito.name,word.foods.lomito.description,Lomito,"Sándwich argentino de carne vacuna con vegetales, queso, huevo y distintos aderezos.",Steak sandwich,"Argentine steak sandwich often loaded with vegetables, cheese, egg, and sauces."
foods.choripan,foods,word.foods.choripan.name,word.foods.choripan.description,Choripán,"Chorizo a la parrilla dentro de un pan, idealmente con chimichurri y cero delicadeza.",Choripán,"Grilled chorizo in a crusty roll, ideally drowned in chimichurri and eaten without dignity."
foods.ensalada,foods,word.foods.ensalada.name,word.foods.ensalada.description,Ensalada,Mezcla de vegetales u otros ingredientes servida fría o tibia y normalmente condimentada.,Salad,Mix of vegetables or other ingredients served cold or warm and usually dressed.
foods.pollo_frito,foods,word.foods.pollo_frito.name,word.foods.pollo_frito.description,Pollo frito,Piezas de pollo rebozadas y fritas hasta quedar doradas y crocantes.,Fried chicken,Chicken pieces coated and fried until golden and crispy.
foods.papas_fritas,foods,word.foods.papas_fritas.name,word.foods.papas_fritas.description,Papas fritas,"Papas cortadas y fritas hasta quedar doradas, crocantes por fuera y tiernas por dentro.",French fries,"Potatoes cut and fried until golden, crisp outside, and soft inside."
foods.arroz,foods,word.foods.arroz.name,word.foods.arroz.description,Arroz,"Cereal básico en cocinas de todo el mundo, preparado solo o como parte de innumerables platos.",Rice,"Staple grain used in cuisines worldwide, served alone or as the base of countless dishes."
foods.lasana,foods,word.foods.lasana.name,word.foods.lasana.description,Lasaña,"Plato de capas de pasta, salsa, queso y relleno que se cocina al horno.",Lasagna,"Baked dish made from layers of pasta, sauce, cheese, and filling."
objects.celular,objects,word.objects.celular.name,word.objects.celular.description,Celular,"Dispositivo portátil para comunicarse, navegar, sacar fotos y perder horas mirando la pantalla.",Cell phone,"Portable device used to communicate, browse, take photos, and lose hours staring at a screen."
objects.computadora,objects,word.objects.computadora.name,word.objects.computadora.description,Computadora,"Máquina electrónica capaz de ejecutar programas, procesar información y sostener buena parte de la vida digital.",Computer,"Electronic machine that runs software, processes information, and holds together much of modern digital life."
objects.teclado,objects,word.objects.teclado.name,word.objects.teclado.description,Teclado,Conjunto de teclas usado para escribir y controlar una computadora u otro dispositivo.,Keyboard,Set of keys used to type and control a computer or other device.
objects.mouse,objects,word.objects.mouse.name,word.objects.mouse.description,Mouse,Dispositivo apuntador que mueve el cursor y permite interactuar con una interfaz gráfica.,Mouse,Pointing device used to move a cursor and interact with a graphical interface.
objects.monitor,objects,word.objects.monitor.name,word.objects.monitor.description,Monitor,Pantalla que muestra imágenes y datos generados por una computadora.,Monitor,Screen that displays images and information produced by a computer.
objects.mesa,objects,word.objects.mesa.name,word.objects.mesa.description,Mesa,"Mueble de superficie plana sostenida por patas o una base, usado para comer, trabajar o apoyar cosas.",Table,"Flat-topped piece of furniture used for eating, working, or holding things."
objects.silla,objects,word.objects.silla.name,word.objects.silla.description,Silla,"Asiento individual con respaldo, diseñado para sostener a una persona sentada.",Chair,"Single-person seat with a back, designed to support someone sitting down."
objects.botella,objects,word.objects.botella.name,word.objects.botella.description,Botella,Recipiente de cuello angosto usado para guardar y transportar líquidos.,Bottle,Narrow-necked container used to store and carry liquids.
objects.vaso,objects,word.objects.vaso.name,word.objects.vaso.description,Vaso,Recipiente sin asa utilizado principalmente para beber líquidos.,Glass,Handleless container mainly used for drinking liquids.
objects.plato,objects,word.objects.plato.name,word.objects.plato.description,Plato,Pieza de vajilla plana o poco profunda donde se sirve la comida.,Plate,Flat or shallow piece of tableware used to serve food.
objects.cuchara,objects,word.objects.cuchara.name,word.objects.cuchara.description,Cuchara,"Utensilio con una pequeña cavidad, ideal para líquidos, cereales y postres.",Spoon,"Utensil with a small bowl, ideal for liquids, cereal, and desserts."
objects.tenedor,objects,word.objects.tenedor.name,word.objects.tenedor.description,Tenedor,Utensilio con dientes o puntas usado para pinchar y sostener alimentos.,Fork,Utensil with prongs used to spear and hold food.
objects.cuchillo,objects,word.objects.cuchillo.name,word.objects.cuchillo.description,Cuchillo,"Herramienta de hoja afilada utilizada para cortar alimentos, materiales y, en malas manos, problemas.",Knife,"Sharp-bladed tool used to cut food, materials, and—in the wrong hands—cause serious trouble."
objects.mochila,objects,word.objects.mochila.name,word.objects.mochila.description,Mochila,Bolso con correas que se lleva sobre la espalda para transportar objetos.,Backpack,Bag worn on the back with shoulder straps for carrying belongings.
objects.libro,objects,word.objects.libro.name,word.objects.libro.description,Libro,Conjunto de páginas impresas o digitales que contiene una obra escrita o ilustrada.,Book,Collection of printed or digital pages containing a written or illustrated work.
objects.lapiz,objects,word.objects.lapiz.name,word.objects.lapiz.description,Lápiz,Instrumento de escritura y dibujo con una mina de grafito que puede borrarse.,Pencil,Writing and drawing tool with an erasable graphite core.
objects.lapicera,objects,word.objects.lapicera.name,word.objects.lapicera.description,Lapicera,Instrumento que deposita tinta sobre una superficie para escribir o dibujar.,Pen,Instrument that places ink on a surface for writing or drawing.
objects.cuaderno,objects,word.objects.cuaderno.name,word.objects.cuaderno.description,Cuaderno,"Conjunto de hojas encuadernadas usado para escribir, dibujar o tomar apuntes.",Notebook,"Bound set of pages used for writing, drawing, or taking notes."
objects.auriculares,objects,word.objects.auriculares.name,word.objects.auriculares.description,Auriculares,Dispositivo que reproduce sonido directamente sobre o dentro de los oídos.,Headphones,Device that plays audio directly over or inside the ears.
objects.control_remoto,objects,word.objects.control_remoto.name,word.objects.control_remoto.description,Control remoto,"Dispositivo que permite manejar un aparato a distancia, hasta que desaparece entre los almohadones.",Remote control,Device used to operate electronics from a distance until it vanishes between the couch cushions.
objects.televisor,objects,word.objects.televisor.name,word.objects.televisor.description,Televisor,"Pantalla y receptor usados para ver programas, películas, noticias y videojuegos.",TV,"Screen and receiver used to watch shows, movies, news, and games."
objects.lampara,objects,word.objects.lampara.name,word.objects.lampara.description,Lámpara,Objeto que produce o dirige luz para iluminar un espacio.,Lamp,Object that produces or directs light to illuminate a space.
objects.cama,objects,word.objects.cama.name,word.objects.cama.description,Cama,"Mueble preparado para dormir, descansar y realizar actividades que no siempre implican descansar.",Bed,"Furniture designed for sleep, rest, and activities that do not always involve resting."
objects.almohada,objects,word.objects.almohada.name,word.objects.almohada.description,Almohada,Cojín blando que sostiene la cabeza y el cuello al dormir.,Pillow,Soft cushion that supports the head and neck while sleeping.
objects.reloj,objects,word.objects.reloj.name,word.objects.reloj.description,Reloj,"Instrumento que mide y muestra la hora, usado en paredes, mesas o muñecas.",Watch,"Instrument that measures and displays time on walls, desks, or wrists."
objects.billetera,objects,word.objects.billetera.name,word.objects.billetera.description,Billetera,"Accesorio para guardar dinero, tarjetas y documentos personales.",Wallet,"Accessory used to carry cash, cards, and personal documents."
objects.llaves,objects,word.objects.llaves.name,word.objects.llaves.description,Llaves,Piezas que abren cerraduras y que siempre aparecen cinco minutos después de necesitarlas.,Keys,Objects used to open locks and reliably found five minutes after you needed them.
objects.paraguas,objects,word.objects.paraguas.name,word.objects.paraguas.description,Paraguas,Estructura plegable de tela que protege de la lluvia o del sol.,Umbrella,Foldable fabric canopy used for protection from rain or sun.
objects.zapatilla,objects,word.objects.zapatilla.name,word.objects.zapatilla.description,Zapatilla,Accesorio eléctrico con varios enchufes que permite alimentar varios dispositivos desde una toma.,Power strip,Electrical power strip that lets several devices share one wall outlet.
objects.campera,objects,word.objects.campera.name,word.objects.campera.description,Campera,Prenda exterior que cubre el torso y los brazos para proteger del frío o la lluvia.,Jacket,Outer garment covering the torso and arms for protection from cold or rain.
objects.gorra,objects,word.objects.gorra.name,word.objects.gorra.description,Gorra,Sombrero blando con visera utilizado como protección o accesorio de vestir.,Cap,"Soft hat with a brim, worn for shade or style."
objects.espejo,objects,word.objects.espejo.name,word.objects.espejo.description,Espejo,Superficie reflectante que devuelve una imagen y a veces demasiada realidad.,Mirror,Reflective surface that returns an image and occasionally far too much reality.
objects.cepillo,objects,word.objects.cepillo.name,word.objects.cepillo.description,Cepillo,"Herramienta con cerdas usada para limpiar, ordenar o aplicar materiales.",Brush,"Bristled tool used for cleaning, grooming, or applying materials."
objects.toalla,objects,word.objects.toalla.name,word.objects.toalla.description,Toalla,Pieza absorbente de tela utilizada para secar el cuerpo u otras superficies.,Towel,Absorbent piece of fabric used to dry the body or other surfaces.
objects.jabon,objects,word.objects.jabon.name,word.objects.jabon.description,Jabón,"Producto que, mezclado con agua, ayuda a limpiar la piel, la ropa u objetos.",Soap,"Product that combines with water to clean skin, clothing, or objects."
objects.shampoo,objects,word.objects.shampoo.name,word.objects.shampoo.description,Shampoo,Producto líquido o cremoso utilizado para lavar el cabello y el cuero cabelludo.,Shampoo,Liquid or creamy product used to wash hair and scalp.
objects.ventilador,objects,word.objects.ventilador.name,word.objects.ventilador.description,Ventilador,Aparato con aspas que mueve aire para refrescar o ventilar un ambiente.,Fan,Bladed appliance that moves air to cool or ventilate a room.
objects.heladera,objects,word.objects.heladera.name,word.objects.heladera.description,Heladera,Electrodoméstico que mantiene alimentos y bebidas a baja temperatura.,Fridge,Appliance that keeps food and drinks at a low temperature.
objects.microondas,objects,word.objects.microondas.name,word.objects.microondas.description,Microondas,Electrodoméstico que calienta alimentos rápidamente mediante ondas electromagnéticas.,Microwave,Appliance that quickly heats food using electromagnetic waves.
objects.horno,objects,word.objects.horno.name,word.objects.horno.description,Horno,Compartimento cerrado que cocina alimentos mediante calor controlado.,Oven,Enclosed chamber that cooks food with controlled heat.
objects.sarten,objects,word.objects.sarten.name,word.objects.sarten.description,Sartén,"Recipiente bajo con mango utilizado para freír, saltear o cocinar alimentos sobre fuego.",Frying pan,"Shallow handled pan used to fry, sauté, or cook food over heat."
objects.olla,objects,word.objects.olla.name,word.objects.olla.description,Olla,"Recipiente profundo utilizado para hervir, guisar o cocinar alimentos.",Pot,"Deep cooking vessel used for boiling, stewing, and preparing food."
objects.tijera,objects,word.objects.tijera.name,word.objects.tijera.description,Tijera,"Herramienta de dos hojas articuladas usada para cortar papel, tela y otros materiales.",Scissors,"Two-bladed hinged tool used to cut paper, fabric, and other materials."
objects.cinta,objects,word.objects.cinta.name,word.objects.cinta.description,Cinta,"Tira flexible de material utilizada para unir, envolver, marcar o decorar.",Tape,"Flexible strip used to fasten, wrap, mark, or decorate."
objects.caja,objects,word.objects.caja.name,word.objects.caja.description,Caja,"Recipiente rígido utilizado para guardar, proteger o transportar objetos.",Box,"Rigid container used to store, protect, or transport objects."
objects.bolsa,objects,word.objects.bolsa.name,word.objects.bolsa.description,Bolsa,Contenedor flexible y liviano utilizado para llevar o guardar cosas.,Bag,Lightweight flexible container used to carry or store things.
